##Ensembl file: C:\Users\ahsturm1\Desktop\Data\NGS\Ensembl\Homo_sapiens.GRCh38.112.gff3
##RefSeq file: C:\Users\ahsturm1\Desktop\Data\NGS\RefSeq\Homo_sapiens.GRCh38.p14.gff3
#Ensembl ID	RefSeq ID
ENST00000619216	NR_106918
ENST00000607096	NR_036051
ENST00000641515	NM_001005484
ENST00000641515	CCDS30547
ENST00000612080	NR_107062
ENST00000426406	NM_001005221
ENST00000426406	CCDS72675
ENST00000332831	NM_001005277
ENST00000332831	CCDS41221
ENST00000616016	NM_001385641
ENST00000616016	CCDS90834
ENST00000618323	NM_001385640
ENST00000618323	CCDS90833
ENST00000342066	NM_152486
ENST00000342066	CCDS2
ENST00000327044	NM_015658
ENST00000327044	CCDS3
ENST00000338591	NM_198317
ENST00000338591	CCDS30550
ENST00000379410	NM_032129
ENST00000379410	CCDS4
ENST00000379407	NM_001160184
ENST00000379407	CCDS53256
ENST00000379409	NM_001410697
ENST00000379409	CCDS90835
ENST00000433179	NM_001394713
ENST00000433179	CCDS76083
ENST00000341290	NM_001291367
ENST00000341290	CCDS90836
ENST00000694917	NM_001291366
ENST00000694917	CCDS76083
ENST00000428771	NM_001142467
ENST00000428771	CCDS44034
ENST00000304952	NM_021170
ENST00000304952	CCDS5
ENST00000484667	NM_001410700
ENST00000484667	CCDS90837
ENST00000649529	NM_005101
ENST00000649529	CCDS6
ENST00000379370	NM_198576
ENST00000379370	CCDS30551
ENST00000453464	NM_001205252
ENST00000453464	CCDS53257
ENST00000379339	NM_001330306
ENST00000379339	CCDS81250
ENST00000421241	NM_017891
ENST00000421241	CCDS7
ENST00000379320	NM_001363525
ENST00000379320	CCDS85917
ENST00000379319	NM_017891
ENST00000379319	CCDS7
ENST00000416774	NR_038869
ENST00000384997	NR_029639
ENST00000384875	NR_029834
ENST00000362106	NR_029957
ENST00000379317	NR_173246
ENST00000379289	NM_001130045
ENST00000379289	CCDS44036
ENST00000379290	NM_001371649
ENST00000379290	CCDS44036
ENST00000379288	NM_153254
ENST00000379288	CCDS8
ENST00000328596	NM_148901
ENST00000328596	CCDS9
ENST00000379268	NM_004195
ENST00000379268	CCDS10
ENST00000379265	NM_148902
ENST00000379265	CCDS30552
ENST00000379236	NM_003327
ENST00000379236	CCDS11
ENST00000699974	NM_001410709
ENST00000699974	CCDS90838
ENST00000360001	NM_016176
ENST00000360001	CCDS30553
ENST00000263741	NM_016547
ENST00000263741	CCDS12
ENST00000379198	NM_080605
ENST00000379198	CCDS13
ENST00000330388	NM_001014980
ENST00000330388	CCDS30554
ENST00000349431	NM_058167
ENST00000349431	CCDS14
ENST00000347370	NM_194458
ENST00000347370	CCDS16
ENST00000400929	NM_194457
ENST00000400929	CCDS16
ENST00000360466	NM_058167
ENST00000360466	CCDS14
ENST00000400930	NM_194315
ENST00000400930	CCDS15
ENST00000379116	NM_001130413
ENST00000379116	CCDS44037
ENST00000354700	NM_030649
ENST00000354700	CCDS19
ENST00000613751	NR_106784
ENST00000379031	NM_153339
ENST00000379031	CCDS20
ENST00000540437	NM_001256456
ENST00000540437	CCDS57960
ENST00000545578	NM_001256460
ENST00000545578	CCDS57959
ENST00000620829	NM_001256462
ENST00000620829	CCDS72678
ENST00000435064	NM_017871
ENST00000435064	CCDS21
ENST00000419704	NM_001256463
ENST00000419704	CCDS57961
ENST00000620702	NR_106785
ENST00000343938	NM_001029885
ENST00000343938	CCDS30555
ENST00000339381	NM_152228
ENST00000339381	CCDS30556
ENST00000378891	NM_004421
ENST00000378891	CCDS22
ENST00000378888	NM_001330311
ENST00000378888	CCDS81252
ENST00000616525	NR_106866
ENST00000342753	NM_001282584
ENST00000342753	CCDS59950
ENST00000309212	NM_032348
ENST00000309212	CCDS24
ENST00000445648	NM_001282585
ENST00000445648	CCDS59951
ENST00000477278	NM_001282583
ENST00000477278	CCDS59952
ENST00000338370	NM_001127229
ENST00000338370	CCDS25
ENST00000321751	NM_001127230
ENST00000321751	CCDS25
ENST00000338338	NM_017900
ENST00000338338	CCDS25
ENST00000378853	NM_001127229
ENST00000378853	CCDS25
ENST00000400809	NM_030937
ENST00000400809	CCDS30557
ENST00000408918	NM_001039577
ENST00000408918	CCDS30558
ENST00000344843	NM_017971
ENST00000344843	CCDS26
ENST00000537107	NM_001145210
ENST00000537107	CCDS55558
ENST00000520296	NM_001243536
ENST00000520296	NM_001375660
ENST00000520296	CCDS57963
ENST00000427211	NM_001243535
ENST00000427211	NM_001375659
ENST00000427211	CCDS57962
ENST00000454272	NM_001145210
ENST00000454272	CCDS55558
ENST00000442470	NM_001375659
ENST00000442470	CCDS57962
ENST00000378821	NM_001146685
ENST00000378821	CCDS57964
ENST00000338660	NM_199121
ENST00000338660	CCDS28
ENST00000476993	NM_022834
ENST00000476993	CCDS27
ENST00000378785	NM_001039211
ENST00000378785	CCDS44039
ENST00000673477	NM_031921
ENST00000673477	CCDS30
ENST00000378756	NM_001170535
ENST00000378756	CCDS53259
ENST00000378755	NM_018188
ENST00000378755	CCDS31
ENST00000536055	NM_001170536
ENST00000536055	CCDS53260
ENST00000378733	NM_001114748
ENST00000378733	CCDS44040
ENST00000291386	NM_014188
ENST00000291386	CCDS32
ENST00000422725	NM_001242659
ENST00000422725	CCDS55559
ENST00000355826	NM_001170687
ENST00000355826	CCDS41224
ENST00000505820	NM_080875
ENST00000505820	CCDS41224
ENST00000518681	NM_001170688
ENST00000518681	CCDS53262
ENST00000520777	NM_001170686
ENST00000520777	CCDS53261
ENST00000378712	NM_001170689
ENST00000378712	CCDS53264
ENST00000504599	NM_080875
ENST00000504599	CCDS41224
ENST00000356026	NM_006983
ENST00000356026	CCDS30559
ENST00000341832	NM_033486
ENST00000341832	CCDS72684
ENST00000407249	NM_001787
ENST00000407249	CCDS72683
ENST00000340677	NM_033489
ENST00000340677	CCDS72682
ENST00000617444	NM_001290264
ENST00000617444	CCDS44041
ENST00000611123	NM_001110781
ENST00000611123	CCDS44041
ENST00000404249	NM_024011
ENST00000404249	CCDS44042
ENST00000357760	NM_001313982
ENST00000357760	CCDS81254
ENST00000358779	NM_033529
ENST00000358779	CCDS44043
ENST00000378633	NM_001313896
ENST00000378633	CCDS81253
ENST00000341426	NM_023018
ENST00000341426	CCDS30565
ENST00000341991	NM_001198993
ENST00000341991	CCDS30565
ENST00000378625	NM_001198994
ENST00000378625	CCDS55562
ENST00000615252	NM_001282538
ENST00000615252	CCDS72685
ENST00000610897	NM_001282539
ENST00000610897	CCDS34
ENST00000378609	NM_002074
ENST00000378609	CCDS34
ENST00000703692	NM_002074
ENST00000703692	CCDS34
ENST00000703693	NM_002074
ENST00000703693	CCDS34
ENST00000703694	NM_001282539
ENST00000703694	CCDS34
ENST00000703696	NM_002074
ENST00000703696	CCDS34
ENST00000703697	NM_002074
ENST00000703697	CCDS34
ENST00000703699	NM_002074
ENST00000703699	CCDS34
ENST00000703700	NM_002074
ENST00000703700	CCDS34
ENST00000703701	NM_002074
ENST00000703701	CCDS34
ENST00000703702	NM_002074
ENST00000703702	CCDS34
ENST00000703703	NM_002074
ENST00000703703	CCDS34
ENST00000703704	NM_002074
ENST00000703704	CCDS34
ENST00000703706	NM_002074
ENST00000703706	CCDS34
ENST00000703708	NM_002074
ENST00000703708	CCDS34
ENST00000703709	NM_002074
ENST00000703709	CCDS34
ENST00000703710	NM_002074
ENST00000703710	CCDS34
ENST00000703711	NM_002074
ENST00000703711	CCDS34
ENST00000307786	NM_138705
ENST00000307786	CCDS30566
ENST00000310991	NM_178545
ENST00000310991	CCDS35
ENST00000682832	NM_001304360
ENST00000682832	CCDS90840
ENST00000378585	NM_000815
ENST00000378585	CCDS36
ENST00000378567	NM_002744
ENST00000378567	CCDS37
ENST00000400921	NM_001033581
ENST00000400921	CCDS41229
ENST00000333854	NR_146290
ENST00000400919	NM_001256945
ENST00000400919	CCDS72686
ENST00000378546	NM_182533
ENST00000378546	CCDS38
ENST00000378536	NM_003036
ENST00000378536	CCDS39
ENST00000378531	NM_024848
ENST00000378531	CCDS40
ENST00000378529	NM_001301060
ENST00000378529	CCDS72688
ENST00000605895	NM_007033
ENST00000605895	CCDS41232
ENST00000488353	NM_007033
ENST00000488353	CCDS41232
ENST00000288774	NM_153818
ENST00000288774	CCDS41
ENST00000447513	NM_002617
ENST00000447513	CCDS44045
ENST00000378486	NM_014638
ENST00000378486	CCDS59959
ENST00000378466	NM_018216
ENST00000378466	CCDS42
ENST00000378453	NM_001010926
ENST00000378453	CCDS41233
ENST00000355716	NM_003820
ENST00000355716	CCDS44046
ENST00000419916	NM_152371
ENST00000419916	CCDS44
ENST00000537325	NM_001195741
ENST00000537325	CCDS55564
ENST00000378427	NM_001195738
ENST00000378427	CCDS90843
ENST00000378412	NM_033467
ENST00000378412	CCDS30569
ENST00000401095	NM_001242672
ENST00000401095	CCDS55565
ENST00000378404	NM_080431
ENST00000378404	CCDS45
ENST00000378391	NM_199454
ENST00000378391	CCDS44048
ENST00000270722	NM_022114
